English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
How long does it take to get to Georgia?;¿Cuánto tiempo se tarda en llegar a Georgia?;Wie lange dauert es, nach Georgien zu kommen?;ジョージアまでどのくらいかかりますか?;到格鲁吉亚需要多长时间？;到格魯吉亞需要多長時間？;조지아까지 얼마나 걸립니까?;Quanto tempo leva para chegar a Geórgia?;Combien de temps faut-il pour se rendre en Géorgie ?;Quanto tempo ci vuole per arrivare in Georgia?;Hoe lang duurt het om in Georgië te komen?;Hur lång tid tar det att komma till Georgien?;Hvor lang tid tar det å komme til Georgia?;Hvor lang tid tager det at komme til Georgien?;जॉर्जिया पहुंचने में कितना समय लगता है?;جارجیا جانے میں کتنا وقت لگتا ہے؟;Сколько времени нужно, чтобы добраться до Грузии?;كم من الوقت يستغرق الوصول إلى جورجيا؟;Wanderlust & Finding Your Way
How long is the flight?;¿Cuánto dura el vuelo?;Wie lange dauert der Flug?;飛行時間はどれぐらいですか？;飞多长时间？;飛多長時間？;비행 시간은 얼마나 되나요?;Qual a duração do voo?;Combien de temps dure le vol?;Quanto dura il volo?;Hoe lang is de vlucht?;Hur lång är flygresan?;Hvor lang er flyturen?;Hvor lang er flyveturen?;कितनी दूर की उड़ान है?;پرواز کتنی لمبی ہے؟;Сколько займет полет?;كم تستغرق رحلة الطيران؟;Wanderlust & Finding Your Way
How was the movie?;¿Como estuvo la pelicula?;Wie war der Film?;映画はいかがでしたか？;电影怎么样？;電影怎麼樣？;영화 어땠어?;Como foi o filme?;Comment était le film?;Come era il film?;Hoe was de film?;Hur var filmen?;Hvordan var filmen?;Hvordan var filmen?;फिल्म कैसी थी?;فلم کیسی لگی؟;Как фильм?;كيف كان الفيلم؟;Wanderlust & Finding Your Way
I'd like to make a phone call.;Me gustaría hacer una llamada telefónica.;Ich möchte telefonieren.;電話をかけたいのですが。;我想打个电话。;我想打個電話。;전화를 걸고 싶습니다.;Eu gostaria de fazer uma ligação.;J'aimerais passer un coup de fil.;Vorrei fare una telefonata.;Ik wil graag even bellen.;Jag skulle vilja ringa ett telefonsamtal.;Jeg vil gjerne ringe.;Jeg vil gerne foretage et telefonopkald.;मैं एक फोन करना चाहता हूँ।;میں ایک فون کال کرنا چاہتا ہوں۔;Я хочу позвонить.;أود إجراء مكالمة هاتفية.;Wanderlust & Finding Your Way
I'd like to make a reservation.;Me gustaría hacer una reservación.;Ich möchte reservieren.;予約をしたいのですが。;我想预约。;我想預約。;예약하고 싶습니다.;Gostaria de fazer uma reserva.;J'aimerais faire une réservation.;Vorrei fare una prenotazione.;Ik zou graag een reservering willen maken.;Jag skulle vilja göra en reservation.;Jeg vil gjerne reservere.;Jeg vil gerne reservere.;मैं एक आरक्षण करना चाहता हूँ।;میں ریزرویشن کرنا چاہوں گا۔;Я хотел бы сделать бронирование.;اود ان احجز.;Wanderlust & Finding Your Way
I have a question I want to ask you./ I want to ask you a question.;Tengo una pregunta que quiero hacerte. / Quiero hacerte una pregunta.;Ich habe eine Frage, die ich Ihnen stellen möchte. / Ich möchte Ihnen eine Frage stellen.;質問があります。/ 質問したいことがあります。;我有一个问题想问你。/我想问你一个问题。;我有一個問題想問你。/我想問你一個問題。;당신에게 묻고 싶은 것이 있습니다./당신에게 묻고 싶은 것이 있습니다.;Eu tenho uma pergunta que quero te fazer./ Quero te fazer uma pergunta.;J'ai une question que je veux vous poser. / Je veux vous poser une question.;Ho una domanda che voglio farti./ Voglio farti una domanda.;Ik heb een vraag die ik je wil stellen./ Ik wil je een vraag stellen.;I have a question I want to ask you./ I want to ask you a question.;I have a question I want to ask you./ I want to ask you a question.;I have a question I want to ask you./ I want to ask you a question.;मेरा एक प्रश्न है जो मैं आपसे पूछना चाहता/चाहती हूँ/मैं आपसे एक प्रश्न पूछना चाहता/चाहती हूँ।;میرے پاس ایک سوال ہے میں آپ سے پوچھنا چاہتا ہوں۔/ میں آپ سے ایک سوال پوچھنا چاہتا ہوں۔;У меня есть вопрос, который я хочу вам задать. / Я хочу задать вам вопрос.;لدي سؤال أريد أن أطرحه عليك / أريد أن أطرح عليك سؤالاً.;Wanderlust & Finding Your Way
I'll take that one also.;Me quedo con ese también.;Den nehme ich auch.;それも持っていきます。;我也拿那个。;我也拿那個。;저것도 가져가겠습니다.;Vou levar esse também.;Je vais prendre celui-là aussi.;Prenderò anche quello.;Die neem ik ook.;Jag tar den också.;Jeg tar den også.;Den tager jeg også.;मैं वह भी लूंगा।;میں اسے بھی لے لوں گا۔;Я тоже возьму такой.;سآخذ هذا أيضا.;Wanderlust & Finding Your Way
I'm coming right now.;Voy ahora mismo.;Ich komme gleich.;今すぐ来ます。;我马上就来。;我馬上就來。;지금 갑니다.;Estou indo agora.;J'arrive maintenant.;Sto arrivando proprio ora.;Ik kom er nu aan.;Jag kommer nu.;Jeg kommer akkurat nå.;Jeg kommer lige nu.;मैं अभी आ रहा हूँ।;میں ابھی آرہا ہوں۔;Я иду прямо сейчас.;أنا قادم الآن.;Wanderlust & Finding Your Way
I'm going home in four days.;Me voy a casa en cuatro días.;Ich gehe in vier Tagen nach Hause.;私は4日後に家に帰ります。;我将在四天后回家。;我將在四天后回家。;4일 후에 집에 갈 거예요.;Vou para casa em quatro dias.;Je rentre chez moi dans quatre jours.;Torno a casa tra quattro giorni.;Ik ga over vier dagen naar huis.;Jag åker hem om fyra dagar.;Jeg reiser hjem om fire dager.;Jeg tager hjem om fire dage.;मैं चार दिनों में घर जा रहा हूँ।;میں چار دن میں گھر جا رہا ہوں۔;Я еду домой через четыре дня.;سأعود إلى المنزل في غضون أربعة أيام.;Wanderlust & Finding Your Way
I'm leaving Tomorrow.;Me voy mañana.;Ich gehe morgen.;私は明日出発します。;我明天就走了。;我明天就走了。;나 내일 떠나.;Eu estou indo embora amanhã.;Je pars demain.;Me ne vado domani.;Ik vertrek morgen.;Jag åker imorgon.;Jeg drar i morgen.;Jeg tager afsted i morgen.;मैं कल जा रहा हूँ।;میں کل جا رہا ہوں۔;Я уезжаю завтра.;سأرحل غدا.;Wanderlust & Finding Your Way
I'm looking for the post office.;Estoy buscando la oficina de correos.;Ich suche die Post.;郵便局を探しています。;我在找邮局。;我在找郵局。;우체국을 찾고 있어요.;Estou procurando os correios.;Je cherche la poste.;Sto cercando l'ufficio postale.;Ik zoek het postkantoor.;Jag letar efter postkontoret.;Jeg ser etter postkontoret.;Jeg leder efter posthuset.;मैं पोस्ट ऑफिस ढूँढ रहा हूँ।;میں پوسٹ آفس تلاش کر رہا ہوں۔;Я ищу почтовое отделение.;أنا أبحث عن مكتب البريد.;Wanderlust & Finding Your Way
Is this pen yours?;¿Este bolígrafo es tuyo?;Ist dieser Stift von Ihnen?;このペンはあなたのものですか。;这支笔是你的吗？;這支筆是你的嗎？;이 펜은 당신 것입니까?;Essa caneta é sua?;Ce stylo est-il à vous ?;Questa penna è tua?;Is deze pen van jou?;Är den här pennan din?;Er denne pennen din?;Er denne pen din?;क्या यह पेन तुम्हारा है?;کیا یہ قلم آپ کا ہے؟;Эта ручка твоя?;هل هذا القلم لك؟;Wanderlust & Finding Your Way
I wish I had one.;Desearía tener una.;Ich wünschte ich hätte einen.;1つあればいいのに。;我希望我有一个。;我希望我有一個。;하나 있었으면 좋겠어요.;Eu gostaria de ter um.;J'aimerais en avoir un.;Vorrei averne uno.;Ik wou dat ik er een had.;Jag önskar att jag hade en.;Jeg skulle ønske jeg hadde en.;Jeg ville ønske, jeg havde en.;काश मेरे पास एक होता।;کاش میرے پاس ایک ہوتا۔;Хотел бы я иметь один.;أتمنى لو كان لدي واحد.;Wanderlust & Finding Your Way
One ticket to New York please.;Un billete a Nueva York, por favor.;Ein Ticket nach New York bitte.;ニューヨーク行きのチケットを1枚ください。;请给我一张去纽约的机票。;請給我一張去紐約的機票。;뉴욕행 표 한 장 주세요.;Uma passagem para Nova York, por favor.;Un billet pour New York, s'il vous plaît.;Un biglietto per New York, per favore.;Eén ticket naar New York alstublieft.;En biljett till New York tack.;En billett til New York takk.;En billet til New York tak.;न्यूयॉर्क के लिए कृपया एक टिकट।;براہ کرم نیویارک کے لیے ایک ٹکٹ۔;Один билет до Нью-Йорка, пожалуйста.;تذكرة واحدة إلى نيويورك من فضلك.;Wanderlust & Finding Your Way
One way or round trip?;¿Un viaje o viaje redondo?;Einfache Fahrt oder Hin- und Rückfahrt?;片道か往復か？;单程或往返？;單程或往返？;편도 또는 왕복?;Só ida ou ida e volta?;Aller simple ou aller-retour ?;Sola andata o andata e ritorno?;Enkele reis of retour?;Enkelresa eller tur och retur?;En vei eller tur/retur?;Enkeltrejse eller tur/retur?;एक ओर का या पूरी यात्रा का?;ایک طرفہ یا راؤنڈ ٹرپ؟;В один конец или туда и обратно?;طريقة واحدة أو ذهابا وإيابا؟;Wanderlust & Finding Your Way
Please speak slower.;Por favor habla más despacio.;Bitte sprechen Sie langsamer.;もっとゆっくり話してください。;请慢点说;請慢點說;천천히 말 해주세요.;Por favor, fale mais devagar.;Parlez plus lentement s'il vous plait.;Per favore parla più lentamente.;Spreek alstublieft langzamer.;Tala långsammare.;Snakk saktere.;Tal venligst langsommere.;कृपया धीमे बोलें।;براہ کرم آہستہ بولیں۔;Пожалуйста, говорите медленнее.;لطفا تحدث بشكل أبطأ.;Wanderlust & Finding Your Way
Please take me to the airport.;Por favor, llévame al aeropuerto.;Bitte bringen Sie mich zum Flughafen.;私を空港に連れて行ってください。;请送我去机场。;請送我去機場。;공항까지 데려다 주세요.;Por favor, me leve ao aeroporto.;S'il vous plaît, emmenez-moi à l'aéroport.;Per favore, portami all'aeroporto.;Breng me alsjeblieft naar het vliegveld.;Snälla ta mig till flygplatsen.;Vennligst ta meg til flyplassen.;Tag mig venligst til lufthavnen.;प्लीज मुझे एयरपोर्ट ले चलो।;براہ کرم مجھے ایئرپورٹ لے چلیں۔;Пожалуйста, отвезите меня в аэропорт.;من فضلك خذني إلى المطار.;Wanderlust & Finding Your Way
That way.;De esa manera.;Dieser Weg.;その通り。;那样。;那樣。;그런 식으로.;Dessa maneira.;De cette façon.;Quel modo.;Op die manier.;På det sättet.;Den veien.;Den vej.;उस रास्ते।;اس طرح.;Сюда.;من ذلك الطريق.;Wanderlust & Finding Your Way
The plane departs at 5:30P.;El avión sale a las 5:30 p.m.;Das Flugzeug startet um 17:30 Uhr.;飛行機は午後5時30分に出発します。;飞机于下午 5:30 起飞。;飛機於下午 5:30 起飛。;비행기는 오후 5시 30분에 출발합니다.;O avião parte às 17h30.;L'avion décolle à 17h30.;L'aereo parte alle 17:30.;Het vliegtuig vertrekt om 17.30 uur.;Planet avgår kl 17:30.;Flyet har avgang kl 17:30.;Flyet afgår kl. 17.30.;विमान 5:30 बजे प्रस्थान करता है।;طیارہ 5:30P پر روانہ ہوتا ہے۔;Самолет вылетает в 17:30.;تقلع الطائرة في الساعة 5:30 مساءً.;Wanderlust & Finding Your Way
They arrived yesterday.;Llegaron ayer.;Sie sind gestern angekommen.;彼らは昨日到着しました。;他们昨天到了。;他們昨天到了。;그들은 어제 도착했습니다.;Chegaram ontem.;Ils sont arrivés hier.;Sono arrivati ​​ieri.;Ze zijn gisteren aangekomen.;De kom igår.;De kom i går.;De ankom i går.;वे कल पहुंचे।;وہ کل آئے تھے۔;Они прибыли вчера.;وصلوا أمس.;Wanderlust & Finding Your Way
Turn around.;Giro de vuelta.;Umdrehen.;振り向く。;回转。;迴轉。;돌아서 다.;Inversão de marcha.;Faire demi-tour.;Girarsi.;Keer om.;Vänd dig om.;Snu.;Vend om.;मुड़ो।;مڑنا.;Повернись.;التف حوله.;Wanderlust & Finding Your Way
Turn left.;Gire a la izquierda.;Biegen Sie links ab.;左折してください。;左转。;左轉。;왼쪽으로 돌아.;Vire à esquerda.;Tourner à gauche.;Girare a sinistra.;Sla linksaf.;Sväng vänster.;Ta til venstre.;Drej til venstre.;बांए मुड़िए।;بائیں مڑو.;Поверните налево.;انعطف لليسار.;Wanderlust & Finding Your Way
Turn right.;Gire a la derecha.;Biegen Sie rechts ab.;右折。;右转。;右轉。;우회전.;Vire à direita.;Tournez à droite.;Girare a destra.;Sla rechtsaf.;Sväng höger.;Ta til høyre.;Drej til højre.;दांए मुड़िए।;دائیں مڑیں.;Поверните направо.;انعطف يمينا.;Wanderlust & Finding Your Way
What time are you going to the bus station?;¿A qué hora vas a la estación de autobuses?;Wann gehst du zum Busbahnhof?;何時にバス停に行きますか。;你什么时候去汽车站？;你什麼時候去汽車站？;몇 시에 버스 정류장에 가요?;Que horas você vai para a rodoviária?;A quelle heure vas-tu à la gare routière ?;A che ora vai alla stazione degli autobus?;Hoe laat ga je naar het busstation?;Vilken tid ska du till busstationen?;Når skal du til busstasjonen?;Hvad tid skal du til busstationen?;आप किस समय बस स्टेशन जा रहे हैं?;آپ بس اسٹیشن کتنے بجے جا رہے ہیں؟;Во сколько ты идешь на автовокзал?;في أي وقت أنت ذاهب إلى محطة الحافلات؟;Wanderlust & Finding Your Way
